QRS_Width,R_Peak_Height,P_Wave_Present,T_Wave_Present,ST_Level,PR_Interval,Label
12,1.0,1,1,0.1523,123,A
12,1.0,1,1,0.0722,123,N
16,1.0,1,1,0.1095,121,N
12,1.0,1,1,0.1261,123,N
12,1.0,1,1,0.1121,123,N
12,1.0,1,1,0.1296,123,N
11,1.0,1,1,0.2082,124,N
12,1.0,1,1,0.1344,123,N
12,1.0,1,1,0.0991,124,N
12,1.0,1,1,0.0927,123,N
12,1.0,1,1,0.0942,123,N
13,1.0,1,1,0.106,122,N
11,1.0,1,1,0.1347,124,N
14,1.0,1,1,0.0956,123,N
11,1.0,1,1,0.1039,124,N
12,1.0,1,1,0.071,123,N
12,1.0,1,1,0.0942,123,N
14,1.0,1,1,0.1483,122,N
12,1.0,1,1,0.1078,123,N
12,1.0,1,1,0.0997,123,N
11,1.0,1,1,0.1404,124,N
11,1.0,1,1,0.1431,124,N
14,1.0,1,1,0.0783,122,N
11,1.0,1,1,0.1494,123,N
12,1.0,1,1,0.1079,123,N
14,1.0,1,1,0.1385,122,N
13,1.0,1,1,0.0767,123,N
13,1.0,1,1,0.0871,123,N
12,1.0,1,1,0.09,123,N
12,1.0,1,1,0.0935,123,N
12,1.0,1,1,0.1207,123,N
12,1.0,1,1,0.1324,123,N
14,1.0,1,1,0.1216,122,N
11,1.0,1,1,0.1363,124,N
11,1.0,1,1,0.1444,123,A
15,1.0,1,1,0.0873,121,N
12,1.0,1,1,0.1045,123,N
12,1.0,1,1,0.0948,123,N
11,1.0,1,1,0.1481,123,N
12,1.0,1,1,0.1355,123,N
12,1.0,1,1,0.0872,123,N
12,1.0,1,1,0.0883,123,N
12,1.0,1,1,0.1108,123,A
12,1.0,1,1,0.1053,123,N
14,1.0,1,1,0.0811,122,N
13,1.0,1,1,0.1258,122,N
12,1.0,1,1,0.0957,123,N
11,1.0,1,1,0.1576,124,N
12,1.0,1,1,0.1348,123,N
12,1.0,1,1,0.0951,123,N
13,1.0,1,1,0.1327,123,N
13,1.0,1,1,0.1162,123,N
13,1.0,1,1,0.0916,123,N
12,1.0,1,1,0.0829,123,N
11,1.0,1,1,0.1474,123,N
12,1.0,1,1,0.11,123,A
12,1.0,1,1,0.1006,123,N
12,1.0,1,1,0.129,123,N
11,1.0,1,1,0.1387,124,N
12,1.0,1,1,0.1196,123,N
12,1.0,1,1,0.1299,123,N
12,1.0,1,1,0.087,123,N
12,1.0,1,1,0.1109,123,N
14,1.0,1,1,0.0914,122,N
15,1.0,1,1,0.1165,121,N
12,1.0,1,1,0.1019,123,N
12,1.0,1,1,0.1407,123,N
