QRS_Width,R_Peak_Height,P_Wave_Present,T_Wave_Present,ST_Level,PR_Interval,Label
8,1.0,1,1,0.2902,176,N
8,1.0,1,1,0.3372,176,N
9,1.0,1,1,0.2797,175,A
10,1.0,1,1,0.2504,175,N
9,1.0,1,1,0.3445,175,N
9,1.0,1,1,0.2744,175,N
8,1.0,1,1,0.3861,175,N
9,1.0,1,1,0.2954,175,N
10,1.0,1,1,0.3618,174,N
10,1.0,1,1,0.2584,175,N
9,1.0,1,1,0.2592,175,N
10,1.0,1,1,0.3301,174,N
10,1.0,1,1,0.2678,175,N
11,1.0,1,1,0.3221,174,N
8,1.0,1,1,0.3724,175,N
9,1.0,1,1,0.3389,175,N
9,1.0,1,1,0.3696,175,N
9,1.0,1,1,0.3155,175,N
9,1.0,1,1,0.3763,174,N
9,1.0,1,1,0.3143,175,N
8,1.0,1,1,0.2296,176,N
8,1.0,1,1,0.4067,175,N
8,1.0,1,1,0.3891,175,N
9,1.0,1,1,0.3226,175,N
10,1.0,1,1,0.3262,174,N
8,1.0,1,1,0.3751,363,N
8,1.0,1,1,0.3536,175,A
9,1.0,1,1,0.3033,175,N
9,1.0,1,1,0.2575,175,N
9,1.0,1,1,0.3818,174,N
8,1.0,1,1,0.3345,175,A
8,1.0,1,1,0.2713,176,N
9,1.0,1,1,0.284,175,N
8,1.0,1,1,0.3679,175,N
9,1.0,1,1,0.3286,175,N
8,1.0,1,1,0.3247,175,N
9,1.0,1,1,0.2635,175,N
8,1.0,1,1,0.369,175,N
9,1.0,1,1,0.2775,175,A
9,1.0,1,1,0.3147,175,N
8,1.0,1,1,0.2877,175,N
8,1.0,1,1,0.3673,175,N
9,1.0,1,1,0.3207,175,N
8,1.0,1,1,0.4071,175,N
10,1.0,1,1,0.3427,174,A
9,1.0,1,1,0.2735,175,N
8,1.0,1,1,0.3336,176,N
8,1.0,1,1,0.3064,175,N
8,1.0,1,1,0.3252,176,N
8,1.0,1,1,0.2762,175,N
8,1.0,1,1,0.3725,175,N
8,1.0,1,1,0.3259,175,N
9,1.0,1,1,0.322,175,N
9,1.0,1,1,0.264,175,N
9,1.0,1,1,0.2082,175,N
10,1.0,1,1,0.261,174,N
9,1.0,1,1,0.3131,175,N
8,1.0,1,1,0.3968,175,N
7,1.0,1,1,0.3915,176,N
8,1.0,1,1,0.3748,175,N
9,1.0,1,1,0.2201,175,N
8,1.0,1,1,0.3671,175,N
8,1.0,1,1,0.3009,175,N
9,1.0,1,1,0.2441,175,A
8,1.0,1,1,0.2464,176,N
10,1.0,1,1,0.3712,174,N
8,1.0,1,1,0.329,176,N
9,1.0,1,1,0.3252,175,N
9,1.0,1,1,0.2112,175,N
8,1.0,1,1,0.2455,176,N
8,1.0,1,1,0.3437,176,N
8,1.0,1,1,0.3435,175,N
8,1.0,1,1,0.319,175,N
8,1.0,1,1,0.3057,175,N
8,1.0,1,1,0.2979,175,N
9,1.0,1,1,0.3229,175,N
8,1.0,1,1,0.3685,175,N
8,1.0,1,1,0.3599,175,N
8,1.0,1,1,0.3524,175,N
8,1.0,1,1,0.3437,175,N
9,1.0,1,1,0.2932,175,N
8,1.0,1,1,0.2615,175,N
9,1.0,1,1,0.283,175,N
8,1.0,1,1,0.3658,175,N
9,1.0,1,1,0.3152,175,N
8,1.0,1,1,0.3212,175,N
9,1.0,1,1,0.2974,175,N
8,1.0,1,1,0.3277,175,N
8,1.0,1,1,0.2839,176,N
9,1.0,1,1,0.3316,175,N
9,1.0,1,1,0.3554,175,N
8,1.0,1,1,0.3818,175,N
8,1.0,1,1,0.3683,175,N
10,1.0,1,1,0.4047,174,N
8,1.0,1,1,0.3687,175,N
9,1.0,1,1,0.2646,175,N
10,1.0,1,1,0.3866,174,N
10,1.0,1,1,0.3419,174,N
9,1.0,1,1,0.233,175,N
8,1.0,1,1,0.2532,176,N
8,1.0,1,1,0.3485,176,N
9,1.0,1,1,0.219,175,N
9,1.0,1,1,0.231,175,N
9,1.0,1,1,0.285,175,N
8,1.0,1,1,0.36,175,N
10,1.0,1,1,0.3474,174,N
9,1.0,1,1,0.3671,174,A
9,1.0,1,1,0.2621,175,N
8,1.0,1,1,0.3174,175,N
11,1.0,1,1,0.299,174,N
9,1.0,1,1,0.2865,175,N
9,1.0,1,1,0.2462,175,N
9,1.0,1,1,0.3779,174,N
8,1.0,1,1,0.3344,175,N
9,1.0,1,1,0.3084,175,N
9,1.0,1,1,0.2654,175,N
9,1.0,1,1,0.3913,174,A
8,1.0,1,1,0.3213,175,N
8,1.0,1,1,0.3135,175,A
10,1.0,1,1,0.2663,175,N
8,1.0,1,1,0.4001,175,N
11,1.0,1,1,0.3641,174,A
9,1.0,1,1,0.265,175,N
9,1.0,1,1,0.2432,175,N
9,1.0,1,1,0.2504,175,A
8,1.0,1,1,0.3717,175,N
8,1.0,1,0,0.14504999999999998,387,N
8,1.0,1,1,0.3574,175,A
9,1.0,1,1,0.3914,175,N
9,1.0,1,1,0.2592,175,N
8,1.0,1,1,0.3415,175,N
8,1.0,1,1,0.3394,176,N
10,1.0,1,1,0.2603,174,N
9,1.0,1,1,0.3504,175,N
8,1.0,1,1,0.3889,175,N
8,1.0,1,1,0.3737,175,N
8,1.0,1,1,0.353,175,A
8,1.0,1,1,0.3872,175,A
9,1.0,1,1,0.3435,175,N
10,1.0,1,1,0.3017,175,N
8,1.0,1,1,0.2694,176,N
9,1.0,1,1,0.2844,175,N
8,1.0,1,1,0.3045,176,N
9,1.0,1,1,0.4045,175,N
8,1.0,1,1,0.284,176,N
8,1.0,1,1,0.3574,175,N
9,1.0,1,1,0.2502,175,A
9,1.0,1,1,0.3951,175,N
8,1.0,1,1,0.3543,175,N
8,1.0,1,1,0.2891,175,N
8,1.0,1,1,0.3954,175,N
8,1.0,1,1,0.3393,176,A
8,1.0,1,1,0.376,175,N
9,1.0,1,1,0.3706,174,N
9,1.0,1,1,0.4059,174,N
9,1.0,1,1,0.2344,175,N
9,1.0,1,1,0.2468,175,N
11,1.0,1,1,0.2664,174,N
9,1.0,1,1,0.2844,175,A
9,1.0,1,1,0.282,175,A
8,1.0,1,1,0.3609,175,N
9,1.0,1,1,0.3571,175,N
9,1.0,1,1,0.2433,175,N
9,1.0,1,1,0.2712,175,A
9,1.0,1,1,0.289,175,A
8,1.0,1,1,0.324,176,N
8,1.0,1,1,0.2994,175,N
9,1.0,1,1,0.2792,175,N
9,1.0,1,1,0.2409,175,N
8,1.0,1,1,0.4078,175,A
9,1.0,1,1,0.2574,175,A
8,1.0,1,1,0.2424,176,N
9,1.0,1,1,0.3167,175,N
9,1.0,1,1,0.245,175,N
8,1.0,1,1,0.3584,175,N
8,1.0,1,1,0.3067,175,N
8,1.0,1,1,0.3522,175,A
9,1.0,1,1,0.3275,175,A
9,1.0,1,1,0.2542,175,N
9,1.0,1,1,0.2529,175,N
9,1.0,1,1,0.3264,175,N
10,1.0,1,1,0.2896,175,N
9,1.0,1,1,0.2724,175,N
8,1.0,1,1,0.3887,175,N
11,1.0,1,1,0.3196,174,N
8,1.0,1,1,0.4022,175,N
8,1.0,1,1,0.3755,175,N
8,1.0,1,1,0.3501,175,N
9,1.0,1,1,0.2878,175,N
8,1.0,1,1,0.3174,175,N
9,1.0,1,1,0.3508,175,A
8,1.0,1,1,0.3952,175,N
9,1.0,1,1,0.294,175,N
8,1.0,1,1,0.2872,176,N
8,1.0,1,1,0.3143,175,N
9,1.0,1,1,0.2776,175,N
9,1.0,1,1,0.3915,175,N
9,1.0,1,1,0.2603,175,A
10,1.0,1,1,0.273,174,N
9,1.0,1,1,0.2586,175,N
9,1.0,1,1,0.2806,175,N
9,1.0,1,1,0.3374,175,N
9,1.0,1,1,0.2889,175,N
10,1.0,1,1,0.401,174,N
377,1.0,1,1,0.4326,12,V
10,1.0,1,1,0.2511,175,N
9,1.0,1,1,0.3194,175,N
9,1.0,1,1,0.2688,175,A
9,1.0,1,1,0.361,175,A
10,1.0,1,1,0.2911,175,A
9,1.0,1,1,0.3392,175,N
9,1.0,1,1,0.2304,175,N
8,1.0,1,1,0.3455,175,N
9,1.0,1,1,0.252,175,N
9,1.0,1,1,0.2507,175,N
9,1.0,1,1,0.2738,175,N
10,1.0,1,1,0.273,175,A
9,1.0,1,1,0.3019,175,N
9,1.0,1,1,0.3419,175,N
8,1.0,1,1,0.4095,175,A
8,1.0,1,1,0.2628,176,N
8,1.0,1,1,0.2607,175,N
11,1.0,1,1,0.3431,174,N
8,1.0,1,1,0.3897,175,N
8,1.0,1,1,0.3698,175,A
8,1.0,1,1,0.3375,175,N
11,1.0,1,1,0.3015,174,N
8,1.0,1,1,0.3696,175,N
8,1.0,1,1,0.4073,175,N
9,1.0,1,1,0.2697,175,N
8,1.0,1,1,0.3757,175,N
11,1.0,1,1,0.3578,174,N
9,1.0,1,1,0.2943,175,N
9,1.0,1,1,0.2799,175,N
9,1.0,1,1,0.2533,175,N
9,1.0,1,1,0.2619,175,N
9,1.0,1,1,0.3226,175,N
9,1.0,1,1,0.2683,175,N
12,1.0,1,1,0.3156,173,N
9,1.0,1,1,0.2648,175,N
8,1.0,1,1,0.3903,175,A
11,1.0,1,1,0.2755,174,N
9,1.0,1,1,0.3997,174,N
9,1.0,1,1,0.3336,175,N
8,1.0,1,1,0.3676,175,N
8,1.0,1,1,0.2502,176,N
10,1.0,1,1,0.2441,175,N
9,1.0,1,1,0.3984,175,N
9,1.0,1,1,0.2762,175,N
10,1.0,1,1,0.3328,174,N
11,1.0,1,1,0.255,174,N
10,1.0,1,1,0.3333,174,N
10,1.0,1,1,0.3206,175,N
10,1.0,1,1,0.3779,174,N
10,1.0,1,1,0.4065,174,N
10,1.0,1,1,0.3599,175,N
12,1.0,1,1,0.3263,174,N
10,1.0,1,1,0.4139,174,N
10,1.0,1,1,0.4114,174,N
11,1.0,1,1,0.3804,174,N
10,1.0,1,1,0.3634,174,N
11,1.0,1,1,0.2345,174,N
11,1.0,1,1,0.2667,174,N
12,1.0,1,1,0.2255,173,N
142,1.0,1,1,0.415275,168,V
85,1.0,1,1,0.4213,86,V
122,0.8395,1,1,0.44860000000000005,153,V
135,1.0,1,1,0.4107,56,V
303,1.0,1,1,0.2971,84,V
12,1.0,1,1,0.3531,174,N
180,1.0,1,1,0.4275,150,V
129,1.0,1,1,0.41295,58,V
363,1.0,1,0,0.3105,31,V
179,1.0,1,1,0.43206666666666665,153,V
119,1.0,1,1,0.4168,63,V
11,1.0,1,1,0.3325,174,N
81,0.8839,1,1,0.4504,272,V
118,1.0,1,1,0.4479,76,V
262,0.9607,1,1,0.38565,105,V
137,1.0,1,1,0.438,58,V
83,0.8771,1,1,0.4422,262,V
114,1.0,1,1,0.4328,79,V
153,1.0,1,1,0.43465,130,V
117,1.0,1,1,0.4087,76,V
12,1.0,1,1,0.4077,7,V
190,1.0,1,1,0.43006666666666665,159,V
118,1.0,1,1,0.4275,76,V
367,1.0,1,0,0.3428,26,V
47,0.6799,1,1,0.4584,253,V
